기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
주식회사 일렉트리코,금태련,대구광역시 달성군 다사읍 매곡로 64,제어시스템/컨트롤러,스마트장비,"1차 금속 제조업, 기타 제품 제조업"
주식회사싸이언,이윤숙,울산광역시 남구 남부순환도로 13(무거동),제조빅데이터/제조AI,CPS/디지털트윈,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 와이앤와이,윤석문,경상북도 구미시 수출대로 152 (공단동) 308호(지식산업센터),제어시스템/컨트롤러,"산업용로봇, 제조빅데이터/제조AI","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)더블유티엠,김영남,경기 안산시 단원구 성곡동 665∼740 714-2 시화공단 4마703,산업용로봇,미등록,기타 기계 및 장비 제조업
한국비전기술(주),전영민,서울특별시 동작구 여의대방로22길 4 (신대방동) 동일빌딩4층,식별시스템/머신비전,"산업용로봇, 제어시스템/컨트롤러, 센서/액추에이터, MES/POP/APS, QMS/CMMS, 제조빅데이터/제조AI, AR/VR/MR",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
트렌스아이티,안성훈,경기도 부천시 원미구 조마루로85번길 7-90 (상동),MES/POP/APS,미등록,"의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업"
주식회사 앰버로드,임언호,경상북도 포항시 남구 청암로 87 (지곡동),제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 씨메스,이성호,서울특별시 강남구 도산대로 318 (논현동),산업용로봇,식별시스템/머신비전,"식료품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사 아인커뮤니케이션,한경호,인천광역시 미추홀구 경인로 229 (도화동),MES/POP/APS,ERP,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 투비시스템,최기성,인천광역시 부평구 주부토로 236(갈산동) 인천테크노밸리 U1센터 C-1012,MES/POP/APS,SCM/WMS,"가죽. 가방 및 신발 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)심플북,민영석,인천광역시 연수구 용담로 115 (연수동),ERP,미등록,기타 제품 제조업
주식회사 메이븐,김용호,"경기도 성남시 수정구 창업로 42(시흥동) 508,509호",PLM/PDM,미등록,"식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
유주티엔씨(주),최인규,경기도 안성시 양성면 한내로 137-8,식별시스템/머신비전,"산업용로봇, 스마트장비, 제어시스템/컨트롤러","식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
엠아이큐브솔루션주식회사,"박문원, 조영택",서울특별시 서초구 효령로55길 23 (서초동),MES/POP/APS,"CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사 나우로보틱스,이종주,인천광역시 남동구 앵고개로449번길 42 (고잔동),산업용로봇,"스마트장비, 제어시스템/컨트롤러, MES/POP/APS",기타 기계 및 장비 제조업
인실리코,최승훈,경기도 안산시 단원구 산단로 112-19 (원시동),MES/POP/APS,제조빅데이터/제조AI,"식료품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업"
(주)이디코어,한대수,"경기도 평택시 정암로42, 206호",제조빅데이터/제조AI,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
바인컴퍼니(주),송영한,대구광역시 수성구 알파시티1로42길 11 (대흥동) 9층 914호,MES/POP/APS,"센서/액추에이터, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사 더블유엔피,김병건,울산광역시 중구 종가로 15 (다운동) 울산테크노파크 기술혁신 B동 401호,ERP,"SCM/WMS, MES/POP/APS",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
(주)지니어스,박원호,경기도 성남시 중원구 사기막골로45번길 14 (상대원동) 성남우림라이온스벨리2차 B동 1305호,식별시스템/머신비전,"제어시스템/컨트롤러, MES/POP/APS","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)부품디비,황진상,"대전광역시 유성구 유성대로 1476-55 (화암동), 2층",PLM/PDM,"CPS/디지털트윈, 제조빅데이터/제조AI, AR/VR/MR","음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
에쎄테크놀로지,송춘경,경기도 부천시 부천로198번길 18 (춘의동) 춘의테크노파크2차 201동702호,CPS/디지털트윈,MES/POP/APS,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)바이투,변영석,"경기도 광주시 행정타운로69번길 47 (송정동, 송정낙원 포레시티)",MES/POP/APS,미등록,"비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업"
(주)이레기술,이원석,경기도 용인시 처인구 이동읍 화산로 123,스마트장비,"산업용로봇, 제어시스템/컨트롤러, ERP, MES/POP/APS","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 자동차 및 트레일러 제조업"
주식회사한영에스에프,한영희,부산광역시 강서구 유통단지1로 41 (대저2동),MES/POP/APS,"제어시스템/컨트롤러, 통신네트워크장비","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외"
(주)제이디,이동석,경기도 수원시 권선구 산업로155번길 80(고색동),산업용로봇,"제어시스템/컨트롤러, ERP","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
참바른기술,한정주,경기도 광명시 일직로 72 (일직동),MES/POP/APS,"제어시스템/컨트롤러, SCM/WMS, FEMS, 제조빅데이터/제조AI","식료품 제조업, 인쇄 및 기록매체 복제업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
스토리 오브 시스템(Story of System),조선희,경기도 수원시 팔달구 인계로124번길 27-10 (인계동),MES/POP/APS,SCM/WMS,"의복. 의복 액세서리 및 모피제품 제조업, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 의료용 물질 및 의약품 제조업, 전기장비 제조업"
(주)알앤제이아이씨티,채춘희,"충청남도 홍성군 홍북읍 청사로 146, 센텀시티 412호",MES/POP/APS,ERP,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
비에스엘코리아(주),김성숙,경기도 군포시 흥안대로 24-7 (금정동),MES/POP/APS,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, ERP, PLM/PDM, SCM/WMS, FEMS, QMS/CMMS, 클라우드컴퓨팅, CPS/디지털트윈, 제조빅데이터/제조AI, AR/VR/MR, 컨설팅/사이버보안","식료품 제조업, 담배 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 인쇄 및 기록매체 복제업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업"
주식회사 비즈비,김태형,서울특별시 서초구 반포대로21길 3 (서초동),ERP,"SCM/WMS, MES/POP/APS","화학 물질 및 화학제품 제조업; 의약품 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)동우글로벌,김용규,경상북도 경산시 와촌면 솔구불길 18,산업용로봇,"식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","화학 물질 및 화학제품 제조업; 의약품 제외, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 피엘피엔지니어링,박병권,경기도 화성시 동탄기흥로 565 (영천동),산업용로봇,"식별시스템/머신비전, 제어시스템/컨트롤러","식료품 제조업, 음료 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
에이제이네트웍스,손삼달,서울특별시 송파구 정의로8길 9 (문정동),산업용로봇,미등록,"식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 몰드케어,최현우,경기도 안양시 동안구 엘에스로91번길 16-39 (호계동),스마트장비,"ERP, PLM/PDM, MES/POP/APS, AR/VR/MR","고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
주식회사 디아이엔씨,김준영,경기도 안산시 상록구 해안로 705(사동) 경기테크노파크 RIT 센터 602호,PLM/PDM,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 세원에스텍,윤병남,경기도 의왕시 이미로 40 (포일동) C동 701호,PLM/PDM,"CPS/디지털트윈, 컨설팅/사이버보안","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업"
(주)아이티엔씨,곽대,경기도 평택시 고덕면 고덕중앙로 322 에이스 S-TOWER 지식산업센터 1011호,ERP,미등록,"식료품 제조업, 섬유제품 제조업; 의복 제외, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
이수시스템,손원동,서울특별시 서초구 사평대로 60 (반포동),CPS/디지털트윈,"스마트장비, 통신네트워크장비, ERP, 클라우드컴퓨팅, 제조빅데이터/제조AI, 컨설팅/사이버보안",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
에프원소프트(주),오승호,"경기도 화성시 동탄순환대로 823 (영천동), 611호 (에이팩시티)",MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, ERP, SCM/WMS","식료품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)제이캐스트,어재홍,경기도 안양시 동안구 벌말로 66 (관양동),MES/POP/APS,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, ERP, 제조빅데이터/제조AI",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
(주)넥사,정태용,대구광역시 남구 봉덕로9길 89-128 (봉덕동),MES/POP/APS,SCM/WMS,"고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
